"","os","lenguajes","registrado","inscrito","sexo","lon","lat","city"
"1","Mac","Mac",2017-11-13,2017-11-13,"male",-3.59,37.17,"Granada"
"2","windows 10","windows 10",2017-09-10,2017-09-10,"male",-3.59,37.17,"Granada"
"3","Mac OS","Mac OS",2017-10-03,2017-10-03,"female",-3.59,37.17,"Granada"
"4","Windows","Windows",2017-11-03,2017-11-03,"female",-3.59,37.17,"Granada"
"5","Windows, ios","Windows, ios",2017-10-01,2017-10-01,"male",-3.59,37.17,"Granada"
"6","Arch Linux","Arch Linux",2016-02-02,2017-04-20,"male",-3.59,37.17,"Granada"
"7","Mac os y linux","Mac os y linux",2017-11-07,2017-11-07,"male",-3.59,37.17,"Granada"
"8","Windows","Windows",2017-11-05,2017-11-05,"male",11,45.45,"Verona"
"9","Windows","Windows",2017-09-18,2017-09-18,"female",-3.59,37.17,"Granada"
"10","Windows","Windows",2017-05-24,2017-05-24,"female",-3.59,37.17,"Granada"
"11","Windows (shame on me)","Windows (shame on me)",2016-11-11,2017-04-19,"female",-3.59,37.17,"Granada"
"12","Linux (Xubuntu y Ubuntu)","Linux (Xubuntu y Ubuntu)",2017-09-18,2017-09-18,"X",-3.59,37.17,"Granada"
"13","Arch, Windows 10","Arch, Windows 10",2016-10-06,2017-05-02,"female",-3.59,37.17,"Granada"
"14","Windoms y Ubuntu","Windoms y Ubuntu",2017-05-18,2017-05-18,"male",-3.59,37.17,"Granada"
"15","Windows ","Windows ",2017-06-01,2017-06-01,"male",-3.71,40.42,"Madrid"
"16","Linux","Linux",2017-09-11,2017-09-11,"male",2.17,41.4,"Barcelona"
"17","Mac","Mac",2017-07-31,2017-08-01,"male",-4.42,36.72,"Málaga"
"18","Unix
Linux
Windows
IOS
","Unix
Linux
Windows
IOS
",2017-02-07,2017-11-07,"male",-3.59,37.17,"Granada"
"19","Mac","Mac",2017-07-24,2017-07-24,"female",1.51,42.51,"Andorra la Vella"
"20","","",2017-07-19,2017-07-19,"female",2.17,41.4,"Barcelona"
"21","Windows","Windows",2017-09-21,2017-09-21,"male",-3.71,40.42,"Madrid"
"22","MacOs, Ubuntu, Xubuntu, Debian, Windows.","MacOs, Ubuntu, Xubuntu, Debian, Windows.",2017-10-31,2017-10-31,"male",-1.13,37.98,"Murcia"
"23","OS","OS",2017-04-06,2017-04-19,"male",-3.59,37.17,"Granada"
"24","Windows, OS","Windows, OS",2017-11-04,2017-11-04,"male",-0.39,39.48,"Valencia"
"25","GNU/Linux (Xubuntu 64)","GNU/Linux (Xubuntu 64)",2017-09-15,2017-09-15,"male",-3.59,37.17,"Granada"
"26","Centos 7, Windows 10","Centos 7, Windows 10",2017-07-19,2017-07-19,"male",-3.59,37.17,"Granada"
"27","Linux (Ubuntu)","Linux (Ubuntu)",2017-11-02,2017-11-02,"male",2.17,41.4,"Barcelona"
"28","Unix","Unix",2017-08-19,2017-08-19,"male",-3.59,37.17,"Granada"
"29","Linux (Ubuntu mayormente), MacOSX, Windows","Linux (Ubuntu mayormente), MacOSX, Windows",2017-10-29,2017-10-29,"female",-8.54,42.88,"Santiago de Compostela"
"30","windows 10","windows 10",2017-05-29,2017-05-29,"female",-3.59,37.17,"Granada"
"31","Windows","Windows",2017-09-26,2017-09-26,"female",-3.71,40.42,"Madrid"
"32","Ahora mismo Ubuntu y W7","Ahora mismo Ubuntu y W7",2016-09-08,2017-06-04,"X",-3.59,37.17,"Granada"
"33","Windows, Linux","Windows, Linux",2017-07-07,2017-07-07,"male",-3.59,37.17,"Granada"
"34","Windows 10, Linux (Raspbian, Ubuntu)","Windows 10, Linux (Raspbian, Ubuntu)",2017-11-13,2017-11-13,"male",-0.89,41.65,"Zaragoza"
"35","WINDOWS
Mac OS","WINDOWS
Mac OS",2017-09-30,2017-09-30,"male",-3.59,37.17,"Granada"
"36","Windows","Windows",2017-09-15,2017-09-15,"male",2.17,41.4,"Barcelona"
"37","Windows","Windows",2017-06-20,2017-06-20,"female",-4.77,37.88,"Córdoba"
"38","Windows 10","Windows 10",2017-11-08,2017-11-08,"female",-3.59,37.17,"Granada"
"39","Linux","Linux",2017-10-31,2017-10-31,"female",-3.71,40.42,"Madrid"
"40","sistema operativo windows","sistema operativo windows",2017-09-18,2017-09-18,"female",-3.59,37.17,"Granada"
"41","Windows","Windows",2017-09-18,2017-09-18,"female",-3.59,37.17,"Granada"
"42","Windows 7","Windows 7",2017-05-26,2017-05-26,"female",-3.59,37.17,"Granada"
"43","R","R",2017-10-03,2017-10-03,"female",-3.59,37.17,"Granada"
"44","Windows y Linux","Windows y Linux",2017-04-18,2017-04-20,"female",-3.69,40.42,"Madrid"
"45","Windows...próximamente Linux!","Windows...próximamente Linux!",2017-05-22,2017-05-23,"X",-3.71,40.42,"Madrid"
"46","microsoft, hadoop","microsoft, hadoop",2017-04-05,2017-06-16,"male",-3.59,37.17,"Granada"
"47","Windows, Mac OS.","Windows, Mac OS.",2017-10-26,2017-10-26,"male",-3.59,37.17,"Granada"
"48","Windows y Linux","Windows y Linux",2017-07-07,2017-07-07,"male",2.17,41.4,"Barcelona"
"49","Arch Linux","Arch Linux",2015-12-31,2017-06-09,"male",-3.59,37.17,"Granada"
"50","Windows","Windows",2017-10-31,2017-10-31,"male",-3.59,37.17,"Granada"
"51","Linux, Windows","Linux, Windows",2017-06-07,2017-06-07,"male",-3.59,37.17,"Granada"
"52","windows","windows",2017-10-23,2017-10-23,"male",-2.43,36.83,"Almería"
"53","Windows y Linux","Windows y Linux",2017-04-21,2017-04-22,"male",-0.39,39.48,"Valencia"
"54","Linux, Windows","Linux, Windows",2017-06-09,2017-06-09,"male",-3.59,37.17,"Granada"
"55","Mac & Windows","Mac & Windows",2017-07-12,2017-07-12,"male",-3.59,37.17,"Granada"
"56","Windows y Linux","Windows y Linux",2017-06-02,2017-06-02,"male",-3.59,37.17,"Granada"
"57","Linux (Fedora 26).","Linux (Fedora 26).",2017-09-19,2017-10-18,"male",-3.59,37.17,"Granada"
"58","Windows","Windows",2017-07-03,2017-07-03,"female",-3.59,37.17,"Granada"
"59","windows","windows",2017-11-13,2017-11-13,"female",-3.59,37.17,"Granada"
"60","Windows","Windows",2017-10-26,2017-10-26,"female",-5.1,37.24,"Osuna"
"61","Windows. Ocasionalmente linux.","Windows. Ocasionalmente linux.",2017-03-01,2017-11-03,"X",-3.59,37.17,"Granada"
"62","Windows","Windows",2017-08-03,2017-08-03,"male",-3.59,37.17,"Granada"
"63","Antergos,manjaro","Antergos,manjaro",2017-04-22,2017-06-22,"X",-3.59,37.17,"Granada"
"64","Windows y Ubuntu (Linux)","Windows y Ubuntu (Linux)",2017-02-08,2017-06-09,"female",-3.59,37.17,"Granada"
"65","Ubuntu windows","Ubuntu windows",2017-01-04,2017-04-20,"male",-3.59,37.17,"Granada"
"66","macOS, Windows","macOS, Windows",2017-05-29,2017-06-09,"female",-3.59,37.17,"Granada"
